view,zoom,frac_bits,err_gt1_frac,class_diff_frac,max_diff
overview,1.0,12,0.007147894965277778,0.0007527669270833334,468
overview,1.0,16,0.0035603841145833335,0.00048149956597222225,424
overview,1.0,18,0.002678765190972222,0.0003662109375,372
overview,1.0,22,0.0013834635416666667,0.00019666883680555556,326
overview,1.0,26,0.0007595486111111111,0.00016954210069444444,261
overview,1.0,32,0.0002848307291666667,9.494357638888889e-05,196
seahorse_100x,100.0,12,0.1835869683159722,0.03807237413194445,486
seahorse_100x,100.0,16,0.11220296223958333,0.02593994140625,471
seahorse_100x,100.0,18,0.08538818359375,0.020914713541666668,468
seahorse_100x,100.0,22,0.04749891493055555,0.013095431857638888,437
seahorse_100x,100.0,26,0.025336371527777776,0.008043077256944444,411
seahorse_100x,100.0,32,0.008795844184027778,0.0031263563368055555,363
seahorse_1000x,1000.0,12,0.5922444661458334,0.03280300564236111,481
seahorse_1000x,1000.0,16,0.3079291449652778,0.013746473524305556,472
seahorse_1000x,1000.0,18,0.23447672526041666,0.013407389322916666,468
seahorse_1000x,1000.0,22,0.13490125868055555,0.011467827690972222,454
seahorse_1000x,1000.0,26,0.07692464192708333,0.009541829427083334,431
seahorse_1000x,1000.0,32,0.030863444010416668,0.00634765625,398
seahorse_1e4x,10000.0,12,0.9738905164930556,0.013400607638888888,453
seahorse_1e4x,10000.0,16,0.817138671875,0.023295084635416668,464
seahorse_1e4x,10000.0,18,0.6314900716145834,0.023593478732638888,468
seahorse_1e4x,10000.0,22,0.3588528103298611,0.023152669270833332,460
seahorse_1e4x,10000.0,26,0.1968655056423611,0.019070095486111112,448
seahorse_1e4x,10000.0,32,0.07813178168402778,0.013007269965277778,383
seahorse_1e5x,100000.0,12,1.0,0.023227267795138888,453
seahorse_1e5x,100000.0,16,0.9756198459201388,0.023227267795138888,437
seahorse_1e5x,100000.0,18,0.9690823025173612,0.054972330729166664,434
seahorse_1e5x,100000.0,22,0.6060248480902778,0.033406575520833336,431
seahorse_1e5x,100000.0,26,0.33868408203125,0.028483072916666668,417
seahorse_1e5x,100000.0,32,0.13680013020833334,0.020989312065972224,393
